Nombre	Genero	Desarrollador	Clasificacion ESRB
Claire Obscure Expedition 33	RPG	Sandfall Interactive	M
Astrobot	Plataformer	Team ASOBI	E10
Helldivers 2	Third Person Shooter	Arrowhead	M
